"id_examen";"nombre_examen";"lk_grupo";"activo";"unidad";"minimo";"maximo";"es_pedido";"es_resultado"
"1";"Biometría Hemática";"1";"1";NULL;NULL;NULL;"1";"0"
"2";"Reticulocitos";"1";"1";"%";"0.5";"1.5";"1";"1"
"3";"Sedimentacíon";"1";"1";"mm/h";"0";"20";"1";"1"
"4";"Hemoparásitos";"1";"1";NULL;NULL;NULL;"1";"1"
"5";"Hematrocito";"1";"1";"%";"37";"52";"1";"1"
"6";"Plaquetas";"1";"1";"10^3/µL";"150";"450";"1";"1"
"7";"Fóruma Leucocitaria";"1";"1";NULL;NULL;NULL;"1";"0"
"8";"Grupo Sanguíneo";"1";"1";NULL;NULL;NULL;"1";"1"
"9";"TP";"2";"1";"seg";"11";"14";"1";"1"
"10";"Tiempo Trombina";"2";"1";"seg";"14";"21";"1";"1"
"11";"Tiempo Coagulación";"2";"1";"min";"5";"10";"1";"1"
"12";"Tiempo Hemorragia";"2";"1";"min";"1";"7";"1";"1"
"13";"Coombs Directo";"2";"1";NULL;NULL;NULL;"1";"1"
"14";"Retracción de coágulo";"2";"1";NULL;NULL;NULL;"1";"1"
"15";"TTP";"2";"1";"seg";"25";"35";"1";"1"
"16";"INR";"2";"1";"Índice";"0.8";"1.2";"1";"1"
"17";"Fibrinógeno";"2";"1";"mg/dL";"200";"400";"1";"1"
"18";"Antitrombina III";"2";"1";"%";"80";"120";"1";"1"
"19";"Indirecto";"2";"1";NULL;NULL;NULL;"1";"1"
"20";"Dímero D";"2";"1";"ng/mL";"0";"500";"1";"1"
"21";"Anticoagulante Lúpico";"2";"1";NULL;NULL;NULL;"1";"1"
"22";"Glucosa Ayunas";"3";"1";"mg/dL";"70";"100";"1";"1"
"23";"Glucosa Postprandial";"3";"1";"mg/dL";"70";"140";"1";"1"
"24";"Curva de Glucosa  (        ) Horas";"3";"1";NULL;NULL;NULL;"1";"0"
"25";"Urea";"3";"1";"mg/dL";"15";"45";"1";"1"
"26";"BUN";"3";"1";"mg/dL";"7";"20";"1";"1"
"27";"Creatinina";"3";"1";"mg/dL";"0.6";"1.2";"1";"1"
"28";"Ácido Urico";"3";"1";"mg/dL";"3.5";"7.2";"1";"1"
"29";"Lípidos Totales ( Col - Tg - HDL - LDL )";"3";"1";NULL;NULL;NULL;"1";"0"
"30";"Colesterol";"3";"1";"mg/dL";"0";"200";"1";"1"
"31";"HDL - Colesterol";"3";"1";"mg/dL";"40";"100";"1";"1"
"32";"LDL - Colesterol";"3";"1";"mg/dL";"0";"100";"1";"1"
"33";"Triglicéridos";"3";"1";"mg/dL";"35";"150";"1";"1"
"34";"Apolipoproteína A";"3";"1";"mg/dL";"110";"205";"1";"1"
"35";"Apolipoproteína B";"3";"1";"mg/dL";"55";"140";"1";"1"
"36";"VLDL";"3";"1";"mg/dL";"5";"40";"1";"1"
"37";"Bilirrubinas ( T - I - D)";"3";"1";NULL;NULL;NULL;"1";"0"
"38";"Proteínas Totales";"3";"1";"g/dL";"6.0";"8.3";"1";"1"
"39";"Albúmina Globulina";"3";"1";NULL;NULL;NULL;"1";"0"
